SubjID,block,trial,file1,filedur,loadtime,status,response,rt
162f3e1760bfcb,1,1,sounds/type_60,568,45,OK,unknown,293139
162f3e1760bfcb,1,2,sounds/type_0,569,50,OK,dype,1964
162f3e1760bfcb,1,3,sounds/type_80,569,35,OK,type,1476
162f3e1760bfcb,1,4,sounds/type_40,570,0,OK,type,1354
162f3fe4878430,1,0,sounds/type_40,570,30,unallowed_response,type,4244
162f3fe4878430,1,1,sounds/type_60,568,25,OK,type,1063
162f3fe4878430,1,2,sounds/type_20,569,30,OK,dype,784
162f3fe4878430,1,3,sounds/type_80,569,5,OK,type,531
162f3fe4878430,1,4,sounds/type_0,569,20,OK,dype,494
162f4083b861a0,1,0,sounds/type_80,569,20,OK,type,2655
162f4083b861a0,1,1,sounds/type_40,570,20,OK,dype,1369
162f4083b861a0,1,2,sounds/type_0,569,30,OK,dype,970
162f4083b861a0,1,3,sounds/type_20,569,15,OK,dype,1916
162f4083b861a0,1,4,sounds/type_60,568,15,OK,type,1532
162f691e7d6450,1,0,movies/flower.webm,5059,5,OK,nonword,2534
162f691e7d6450,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,19886
162f691e7d6450,1,2,movies/ed_hd.ogv,653792,75,OK,nonword,19940
162f6973beed9c,1,0,movies/flower.webm,5059,95,OK,nonword,2668
162f6973beed9c,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,100,OK,word,2821
162f6973beed9c,1,2,movies/ed_hd.ogv,653792,60,OK,nonword,4735
162f697525e1a0,1,0,movies/ed_hd.ogv,653792,85,OK,nonword,12760
162f697525e1a0,1,1,movies/flower.webm,5059,100,OK,word,2039
162f697525e1a0,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,90,OK,nonword,11317
162f6d7841189c,1,0,movies/flower.webm,5059,105,OK,nonword,2298
162f6d7841189c,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,100,OK,word,3853
162f6d7841189c,1,2,movies/ed_hd.ogv,653792,70,OK,nonword,10285
162f6e032e5a5b,1,0,movies/ed_hd.ogv,653792,45,OK,nonword,6854
162f6e032e5a5b,1,1,movies/flower.webm,5059,100,unallowed_response,word,7455
162f6e032e5a5b,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,75,OK,word,1671
162f6e053a023f,1,0,movies/flower.webm,5059,110,OK,nonword,2931
162f6e053a023f,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,3840
162f6e053a023f,1,2,movies/ed_hd.ogv,653792,55,unallowed_response,nonword,6636
162f6e0d5ad0d6,1,0,movies/ed_hd.ogv,653792,75,OK,nonword,2109
162f6e0d5ad0d6,1,1,movies/flower.webm,5059,95,unallowed_response,word,3745
162f6e0d5ad0d6,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,nonword,4930
162f6e0f4290da,1,0,movies/ed_hd.ogv,653792,95,unallowed_response,word,4367
162f6e0f4290da,1,1,movies/flower.webm,5059,100,unallowed_response,word,3891
162f6e0f4290da,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,nonword,2134
162f6e4274cdc2,1,0,movies/ed_hd.ogv,653792,40,unallowed_response,nonword,3554
162f6e4274cdc2,1,1,movies/flower.webm,5059,10,unallowed_response,word,4989
162f6e47223813,1,0,movies/ed_hd.ogv,653792,40,unallowed_response,nonword,6240
162f6e518429eb,1,0,movies/ed_hd.ogv,653792,90,unallowed_response,word,8613
162f6e518429eb,1,1,movies/flower.webm,5059,115,OK,nonword,3910
162f6e518429eb,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,70,unallowed_response,nonword,7698
162f6e7c70d8e6,1,0,movies/flower.webm,5059,110,unallowed_response,nonword,3576
162f6e7c70d8e6,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,2961
162f6e8484a980,1,0,movies/ed_hd.ogv,653792,145,unallowed_response,nonword,16500
162f6e8484a980,1,1,movies/flower.webm,5059,125,unallowed_response,word,7426
162f6e8484a980,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,4796
162f71ea723bf0,1,0,movies/ed_hd.ogv,653792,170,OK,nonword,2188
162f71ea723bf0,1,1,movies/flower.webm,5059,25,OK,word,1128
162f71ec595d1f,1,0,movies/ed_hd.ogv,653792,5,OK,word,6234
162f71ec595d1f,1,1,movies/flower.webm,5059,15,slow_response,word,16035
162f71ec595d1f,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,90,OK,word,2806
162f71eecb7a8c,1,0,movies/flower.webm,5059,85,slow_response,word,12933
162f720dad5a3a,1,0,movies/ed_hd.ogv,653792,70,OK,nonword,23075
162f720dad5a3a,1,1,movies/flower.webm,5059,435,OK,word,1740
162f720dad5a3a,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,275,OK,nonword,1652
162f72104b7a46,1,0,movies/flower.webm,5059,175,OK,nonword,1089
162f72104b7a46,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,190,OK,nonword,4251
162f72104b7a46,1,2,movies/ed_hd.ogv,653792,65,OK,nonword,3031
162f721eda135d,1,0,movies/ed_hd.ogv,653792,55,OK,nonword,3597
162f721eda135d,1,1,movies/flower.webm,5059,100,OK,word,3541
162f722b05803b,1,0,movies/flower.webm,5059,135,OK,word,2025
162f722b05803b,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,160,OK,nonword,1733
162f722b05803b,1,2,movies/ed_hd.ogv,653792,5,OK,word,2516
162f72339a867c,1,0,movies/flower.webm,5059,325,OK,word,1433
162f72339a867c,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,120,OK,nonword,2583
162f72339a867c,1,2,movies/ed_hd.ogv,653792,55,OK,word,5653
162f7d3e02db11,1,0,movies/flower.webm,5059,170,OK,nonword,4495
162f7d3e02db11,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,word,1585
162f7d3e02db11,1,2,movies/ed_hd.ogv,653792,60,unallowed_response,word,13936
162f7d4fb7f2d7,1,0,movies/ed_hd.ogv,653792,40,OK,word,9657
162f7d4fb7f2d7,1,1,movies/flower.webm,5059,95,OK,word,1307
162f7d4fb7f2d7,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,1947
162f7d63e59f56,1,0,movies/flower.webm,5059,115,OK,word,8332
162f7d69c0dcf7,1,0,movies/flower.webm,5059,100,OK,word,7068
162f7d69c0dcf7,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,115,OK,nonword,797
162f7d69c0dcf7,1,2,movies/ed_hd.ogv,653792,55,OK,word,621
162f7d6b147137,1,0,movies/ed_hd.ogv,653792,5,OK,nonword,3767
162f7d7215fb4e,1,0,movies/flower.webm,5059,10,OK,nonword,2942
162f7d7215fb4e,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,3618
162f7d7215fb4e,1,2,movies/ed_hd.ogv,653792,50,OK,nonword,2771
162f7d77303fb5,1,0,movies/ed_hd.ogv,653792,55,OK,word,7939
162f7d77303fb5,1,1,movies/flower.webm,5059,85,OK,nonword,2575
162f7d77303fb5,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,75,OK,word,2800
162f7d983a0aae,1,0,movies/flower.webm,5059,105,OK,word,2299
162f7d983a0aae,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,100,OK,nonword,3247
162f7d983a0aae,1,2,movies/ed_hd.ogv,653792,70,OK,word,1664
162f7d9e99a9fe,1,0,movies/flower.webm,5059,100,OK,word,1244
162f7d9e99a9fe,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,105,OK,word,3991
162f7da4706e96,1,0,movies/flower.webm,5059,5,OK,word,2915
162f7da4706e96,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,30,OK,nonword,4969
162f7dc5485ae5,1,0,movies/flower.webm,5059,85,OK,nonword,2688
162f7dc5485ae5,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,nonword,12312
162f7dc5485ae5,1,2,movies/ed_hd.ogv,653792,80,OK,nonword,3118
162f7dc736242b,1,0,movies/flower.webm,5059,5,OK,word,3903
162f7dc736242b,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,115,OK,word,6886
162f7dc736242b,1,2,movies/ed_hd.ogv,653792,60,OK,word,4390
162f7dc9175907,1,0,movies/ed_hd.ogv,653792,100,OK,word,1653
162f7dc9175907,1,1,movies/flower.webm,5059,125,OK,nonword,4562
162f7dc9175907,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,105,OK,word,5253
162f7dcb339d47,1,0,movies/ed_hd.ogv,653792,5,OK,word,3048
162f7dcb339d47,1,1,movies/flower.webm,5059,105,OK,nonword,7927
162f7dcc868b00,1,0,movies/flower.webm,5059,10,OK,word,1707
162f7dcc868b00,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,30,OK,word,2625
162f7dcc868b00,1,2,movies/ed_hd.ogv,653792,60,unallowed_response,nonword,7218
162f7dce08c555,1,0,movies/flower.webm,5059,125,OK,word,491
162f7e0a754697,1,0,movies/ed_hd.ogv,653792,35,OK,word,3388
162f7e0a754697,1,1,movies/flower.webm,5059,105,slow_response,nonword,36708
162f7e0a754697,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,nonword,462935
162f7e4af3ad9c,1,0,movies/flower.webm,5059,90,OK,word,3150
162f7e4fe4c5d5,1,0,movies/ed_hd.ogv,653792,50,OK,nonword,4343
162f7e4fe4c5d5,1,1,movies/flower.webm,5059,10,OK,word,2186
162f7e4fe4c5d5,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,215,OK,nonword,16797
162f7ee6025548,1,0,movies/flower.webm,5059,165,OK,word,2202
162f7ee6025548,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,nonword,9236
162f7ee6025548,1,2,movies/ed_hd.ogv,653792,65,OK,word,6154
162f7ef26d60cc,1,0,movies/ed_hd.ogv,653792,40,OK,nonword,1028
162f7efd5a811d,1,0,movies/ed_hd.ogv,653792,40,OK,nonword,5790
162f7f005bd558,1,0,movies/ed_hd.ogv,653792,5,OK,nonword,8157
162f7f005bd558,1,1,movies/flower.webm,5059,10,OK,word,1441
162f7f005bd558,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,word,8344
162f7f03025406,1,0,movies/flower.webm,5059,90,OK,word,1933
162f7f03025406,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,125,OK,word,67143
162f7f0ca40c09,1,0,movies/flower.webm,5059,10,OK,word,1374
162f7f0ca40c09,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,30,OK,nonword,5851
162f7f0ca40c09,1,2,movies/ed_hd.ogv,653792,85,OK,nonword,15199
162f7f0ed562df,1,0,movies/ed_hd.ogv,653792,55,unallowed_response,word,4625
162f7f0ed562df,1,1,movies/flower.webm,5059,125,slow_response,nonword,11647
162f7f1161062f,1,0,movies/ed_hd.ogv,653792,35,OK,nonword,2308
162f9d434e7c63,1,0,movies/flower.webm,5059,130,OK,word,2056
162f9d434e7c63,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,130,OK,nonword,6182
162f9d434e7c63,1,2,movies/ed_hd.ogv,653792,95,OK,word,5223
162f9d450a4428,1,0,movies/flower.webm,5059,135,unallowed_response,nonword,4137
162f9d450a4428,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,125,OK,word,6322
162fc20b0db0a6,1,0,movies/ed_hd.ogv,653792,60,OK,nonword,3577
162fc20b0db0a6,1,1,movies/movie1.mp4,1800,35,OK,word,2053
162fc20b0db0a6,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,165,OK,nonword,2877
162fc20c83420e,1,0,movies/movie1.mp4,1800,30,OK,word,1869
162fc20c83420e,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,65,OK,word,2139
162fc20c83420e,1,2,movies/ed_hd.ogv,653792,25,OK,nonword,5324
162fc20c83420e,1,3,movies/flower.webm,5059,15,OK,nonword,1343
162fc274460932,1,0,movies/ed_hd.ogv,653792,25,OK,nonword,3114
162fc275db2465,1,0,movies/flower.webm,5059,10,OK,nonword,2380
162fc275db2465,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,65,OK,word,2841
162fc275db2465,1,2,movies/movie1.mp4,1760,35,OK,nonword,1782
162fc275db2465,1,3,movies/ed_hd.ogv,653792,30,OK,word,1310
162fc275db2465,1,0,movies/ed_hd.ogv,653792,20,OK,word,2848
162fc275db2465,1,1,movies/flower.webm,5059,15,OK,nonword,1640
162fc28943f41a,1,0,movies/flower.webm,5059,15,OK,word,3075
162fc28943f41a,1,1,movies/movie1.mp4,1800,35,OK,nonword,2274
162fc28c83c2fb,1,0,movies/flower.webm,5059,15,OK,word,1802
162fc28c83c2fb,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,65,OK,nonword,2727
162fc28c83c2fb,1,2,movies/movie1.mp4,1760,35,OK,word,1921
162fc28c83c2fb,1,3,movies/ed_hd.ogv,653792,20,OK,nonword,11997
162fc28c83c2fb,1,0,movies/ed_hd.ogv,653792,20,OK,nonword,2642
162fc28c83c2fb,1,1,movies/flower.webm,5059,15,OK,nonword,3171
162fc28c83c2fb,1,2,movies/movie1.mp4,1760,35,OK,nonword,1863
162fc28c83c2fb,1,3,movies/big_buck_bunny_720p_surround.mp4,596503,65,unallowed_response,nonword,3411
162fe41d97b9ec,1,0,movies/flower.webm,5059,85,OK,nonword,1375
162fe41d97b9ec,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,word,1498
162fe41d97b9ec,1,2,movies/movie1.mp4,1760,80,OK,word,1673
162fe41d97b9ec,1,3,movies/ed_hd.ogv,653792,90,OK,nonword,1202
162ff1965be39c,1,0,movies/movie1.mp4,1760,120,slow_response,nonword,9795
162ff1965be39c,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,130,OK,word,2853
162ff1965be39c,1,2,movies/ed_hd.ogv,653792,105,OK,nonword,4576
162ff1965be39c,1,3,movies/flower.webm,5059,65,slow_response,nonword,12290
162ff199ce3e1d,1,0,movies/ed_hd.ogv,653792,85,OK,word,3722
162ff199ce3e1d,1,1,movies/movie1.mp4,1760,35,OK,word,1475
162ff199ce3e1d,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,word,2252
162ff199ce3e1d,1,3,movies/flower.webm,5059,25,OK,word,1601
162ffafd4812d8,1,0,movies/movie3.mp4,1800,45,OK,word,3397
162ffafd4812d8,1,1,movies/movie6.mp4,1760,45,OK,nonword,2297
162ffb030e28db,1,0,movies/movie4.mp4,1760,45,OK,word,2245
162ffb030e28db,1,1,movies/movie1.mp4,1760,30,OK,word,3676
162ffb030e28db,1,2,movies/movie2.mp4,1760,40,OK,word,2351
162ffb030e28db,1,3,movies/movie5.mp4,1760,40,OK,word,5538
162ffb030e28db,1,4,movies/movie6.mp4,1760,40,OK,word,2215
162ffb030e28db,1,5,movies/movie3.mp4,1800,75,OK,word,1624
162ffb05209a02,1,0,movies/movie4.mp4,1760,70,OK,word,1926
162ffb05209a02,1,1,movies/movie3.mp4,1800,50,OK,word,1633
162ffb05209a02,1,2,movies/movie1.mp4,1760,30,OK,word,1786
162ffb05209a02,1,3,movies/movie6.mp4,1760,50,OK,word,1576
162ffb05209a02,1,4,movies/movie2.mp4,1760,65,OK,word,1658
162ffb05209a02,1,5,movies/movie5.mp4,1760,45,OK,word,1074
162ffb07f29062,1,0,movies/movie3.mp4,1800,70,OK,word,1698
162ffb07f29062,1,1,movies/movie1.mp4,1760,30,OK,word,1638
162ffb07f29062,1,2,movies/movie4.mp4,1760,60,OK,word,1661
162ffb07f29062,1,3,movies/movie6.mp4,1760,55,OK,word,1482
162ffb07f29062,1,4,movies/movie2.mp4,1760,45,OK,word,1521
162ffb07f29062,1,5,movies/movie5.mp4,1760,75,OK,word,1616
162ffcb1297b54,1,0,movies/movie2.mp4,1760,45,OK,nonword,3598
162ffcb1297b54,1,1,movies/movie6.mp4,1760,35,OK,word,1151
162ffcb1297b54,1,2,movies/movie4.mp4,1760,35,OK,word,693
162ffcb1297b54,1,3,movies/movie5.mp4,1760,30,OK,nonword,542
162ffcb1297b54,1,4,movies/movie1.mp4,1760,35,OK,word,678
162ffcb1297b54,1,5,movies/movie3.mp4,1760,35,OK,word,810
162ffcb7030852,1,0,movies/movie2.mp4,1760,30,OK,nonword,2500
162ffcb7030852,1,1,movies/movie3.mp4,1760,25,OK,word,602
162ffcb7030852,1,2,movies/movie6.mp4,1760,35,OK,word,514
162ffcb7030852,1,3,movies/movie5.mp4,1760,30,OK,nonword,340
162ffcb7030852,1,4,movies/movie1.mp4,1760,30,OK,word,308
162ffcb7030852,1,5,movies/movie4.mp4,1760,35,OK,word,560
162ffcc50d7738,1,0,movies/movie2.mp4,1760,30,OK,nonword,5659
162ffcc50d7738,1,1,movies/movie6.mp4,1760,35,OK,word,1825
162ffcc6ee580c,1,0,movies/movie6.mp4,1760,25,OK,nonword,1246
162ffcc6ee580c,1,1,movies/movie4.mp4,1760,40,OK,word,2064
162ffcc6ee580c,1,2,movies/movie1.mp4,1760,30,OK,word,1142
162ffcc6ee580c,1,3,movies/movie5.mp4,1760,30,OK,nonword,2315
162ffcc6ee580c,1,4,movies/movie3.mp4,1800,30,OK,word,2161
162ffcc6ee580c,1,5,movies/movie2.mp4,1800,35,OK,word,1687
162ffcc98e0cf7,1,0,movies/movie6.mp4,1800,35,slow_response,nonword,15363
162ffcc98e0cf7,1,1,movies/movie4.mp4,1760,35,slow_response,nonword,8129
162ffcc98e0cf7,1,2,movies/movie2.mp4,1800,35,OK,nonword,1682
162ffcc98e0cf7,1,3,movies/movie5.mp4,1760,30,OK,nonword,2198
162ffcc98e0cf7,1,4,movies/movie1.mp4,1760,35,slow_response,nonword,11673
162ffcc98e0cf7,1,5,movies/movie3.mp4,1800,30,OK,nonword,3692
162ffccd32aa78,1,0,movies/movie6.mp4,1800,30,OK,nonword,2362
162ffccd32aa78,1,1,movies/movie3.mp4,1800,40,OK,nonword,1276
162ffccd32aa78,1,2,movies/movie5.mp4,1760,35,OK,nonword,1192
162ffccd32aa78,1,3,movies/movie1.mp4,1760,30,OK,nonword,1512
162ffccd32aa78,1,4,movies/movie4.mp4,1760,30,slow_response,nonword,9322
162ffccd32aa78,1,5,movies/movie2.mp4,1800,40,OK,nonword,2595
162ffce0ae55bb,1,0,movies/movie5.mp4,1760,30,OK,nonword,2861
162ffce0ae55bb,1,1,movies/movie3.mp4,1800,30,OK,nonword,1406
162ffce0ae55bb,1,2,movies/movie4.mp4,1760,35,OK,word,1369
162ffce0ae55bb,1,3,movies/movie1.mp4,1760,35,OK,word,1740
162ffce0ae55bb,1,4,movies/movie6.mp4,1800,35,OK,nonword,1040
162ffce0ae55bb,1,5,movies/movie2.mp4,1800,35,OK,word,1144
162ffd0390603a,1,0,movies/movie2.mp4,1800,35,OK,nonword,3661
162ffd0390603a,1,1,movies/movie6.mp4,1800,30,OK,nonword,2375
162ffd0390603a,1,2,movies/movie1.mp4,1760,35,OK,nonword,1904
162ffd0390603a,1,3,movies/movie3.mp4,1800,30,OK,nonword,1625
162ffd0390603a,1,4,movies/movie4.mp4,1760,35,OK,nonword,1961
162ffd0390603a,1,5,movies/movie5.mp4,1760,35,OK,nonword,1327
162ffd20122b07,1,0,movies/movie2.mp4,1800,30,OK,word,5051
162ffd20122b07,1,1,movies/movie3.mp4,1800,30,OK,word,2257
162ffd20122b07,1,2,movies/movie6.mp4,1800,35,OK,word,1258
162ffd20122b07,1,3,movies/movie5.mp4,1760,30,OK,word,842
162ffd20122b07,1,4,movies/movie1.mp4,1760,30,OK,word,1360
162ffd2ca2b1d3,1,0,movies/movie3.mp4,1800,40,OK,word,2495
162ffd2ca2b1d3,1,1,movies/movie6.mp4,1800,35,OK,nonword,1745
162ffd2ca2b1d3,1,2,movies/movie2.mp4,1800,30,OK,word,1118
162ffd2ca2b1d3,1,3,movies/movie5.mp4,1760,35,OK,nonword,1809
162ffd2ca2b1d3,1,4,movies/movie1.mp4,1760,35,OK,word,1533
162ffd2ca2b1d3,1,5,movies/movie4.mp4,1760,35,OK,nonword,1521
162ffd2ca2b1d3,1,0,movies/movie6.mp4,1760,35,OK,nonword,3430
162ffd2ca2b1d3,1,1,movies/movie4.mp4,1760,40,OK,word,2306
162ffd2ca2b1d3,1,2,movies/movie2.mp4,1760,40,OK,nonword,2141
162ffd2ca2b1d3,1,3,movies/movie1.mp4,1760,40,OK,word,1736
162ffd2ca2b1d3,1,4,movies/movie3.mp4,1800,35,OK,word,1922
162ffd2ca2b1d3,1,5,movies/movie5.mp4,1760,35,OK,nonword,1925
16303f9886383b,1,0,movies/movie2.mp4,1760,35,OK,nonword,2681
16303f9886383b,1,1,movies/movie4.mp4,1760,40,OK,word,1902
16303f9886383b,1,2,movies/movie5.mp4,1760,35,OK,nonword,1822
16303f9886383b,1,3,movies/movie6.mp4,1760,35,OK,word,359
16303f9886383b,1,4,movies/movie1.mp4,1760,30,OK,nonword,2141
16303f9886383b,1,5,movies/movie3.mp4,1800,35,OK,word,1930
1632a47ea02bea,0,1,0,movies/movie2.mp4,1760,55,slow_response,word,33349
1632a47ea02bea,0,1,1,movies/movie5.mp4,1760,35,OK,word,2081
1632a47ea02bea,0,1,2,movies/movie4.mp4,1760,35,OK,nonword,1902
1632a47ea02bea,0,1,3,movies/movie6.mp4,1760,35,OK,word,1771
1632a47ea02bea,0,1,4,movies/movie3.mp4,1800,40,OK,nonword,1669
1632a47ea02bea,0,1,5,movies/movie1.mp4,1760,40,OK,word,1802
163581845ba9d7,0,1,0,movies/movie6.mp4,1760,45,OK,nonword,2592
