file1,file2,option1,option2,correct 
sounds/type_0,sounds/type_0,same,different,same
sounds/type_20,sounds/type_0,same,different,different
sounds/type_40,sounds/type_0,same,different,different
sounds/type_60,sounds/type_0,same,different,different
sounds/type_80,sounds/type_0,same,different,different
sounds/type_0,sounds/type_20,same,different,different
sounds/type_20,sounds/type_20,same,different,same
sounds/type_40,sounds/type_20,same,different,different
sounds/type_60,sounds/type_20,same,different,different
sounds/type_80,sounds/type_20,same,different,different
sounds/type_0,sounds/type_40,same,different,different
sounds/type_20,sounds/type_40,same,different,different
sounds/type_40,sounds/type_40,same,different,same
sounds/type_60,sounds/type_40,same,different,different
sounds/type_80,sounds/type_40,same,different,different
sounds/type_0,sounds/type_60,same,different,different
sounds/type_20,sounds/type_60,same,different,different
sounds/type_40,sounds/type_60,same,different,different
sounds/type_60,sounds/type_60,same,different,same
sounds/type_80,sounds/type_60,same,different,different
sounds/type_0,sounds/type_80,same,different,different
sounds/type_20,sounds/type_80,same,different,different
sounds/type_40,sounds/type_80,same,different,different
sounds/type_60,sounds/type_80,same,different,different
sounds/type_80,sounds/type_80,same,different,same